INC_No,Year,EventDate,City,State,FlightType,AboardCount,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,AirCraftCategory,Make,AirCraftDamage,Operator,BroadPhaseofFlight
37,2016,7/6/2016,Chennai ,Tamil Nadu,Commecial,6,No Injuries,0,0,0,Human Error,Commercial Aircraft,Hawker Beech,Substantial,S Larsen And Toubro Aviation Ltd,Unknown
38,2016,3/3/2016,Mumbai,Maharashtra,Commecial,126,No Injuries,0,0,0,Mechanical Failuer,Commercial Aircraft,Boeing,Substantial,Jet Airways Ltd.,Landing
39,2015,22-12-2015,New Delhi,Delhi,Commecial,10,Fatal,10,0,0,Technical Failuer,Commercial Aircraft,Beech,Substantial,Border Security Force,Takeoff
40,2015,13-04-2015,Khajuraho,Madhya Pradesh,Commecial,59,No Injuries,0,0,0,Mechanical Failuer,Commercial Aircraft,Boeing,Substantial,Jet Airways Ltd.,Landing
41,2014,19-11-2014,Indore ,Uttar Pradesh,Trainer,2,Fatal,1,1,0,Human Error,Trainee Aircraft,Cessna Aircraft Company,Substantial,M.P Flying Club,Enroute
42,2013,29-09-2013,Murbad  ,Maharashtra,Commecial,5,Fatal,5,0,0,Bad Weather,Commercial Helicopter,Bell,Destroyed,United Helicharters,Enroute
43,2013,24-07-2013,Kedaranath ,Uttarakhand,Commecial,1,Fatal,1,0,0,Bad Weather,Commercial Helicopter,Bell,Substantial,Transbharat Aviation Pvt. Ltd.,Landing
44,2012,30-12-2012,Katra ,Jammu and Kashmir,Commecial,6,Serious,0,0,6,Technical Failuer,Commercial Helicopter,Bell,Substantial,Pawan Hans Limited,Landing
45,2011,19-06-2011,Ladpur ,Uttarakhand,Private,2,Serious,0,2,0,Technical Failuer,Private Helicopter,Bell,Substantial,M/S Swajas Air Charter,Landing
46,2011,25-05-2011,Faridabad Parvatiya Colony,Haryana,Commecial,10,Fatal,10,0,0,Human Error,Air Ambulence,Pilatus,Substantial,Air Chartered Services Pvt,Enroute
47,2010,22-05-2010,Manglaore,Karnataka,Commecial,158,Fatal,158,0,0,Human Error,Commercial Aircraft,Boeing,Destroyed,Air India Charters,Landing
48,2009,2/9/2009,Kurnool,Andhra Pradesh,Government,5,Fatal,5,0,0,Technical Failuer,Government Helicopter,Bell,Destroyed,"Government Of Andhra Pradesh Gad (Poll ""C"")",Landing
49,2008,18-01-2008,Mysore,Karnataka,Commecial,4,Minor,0,2,2,Technical Failuer,Commercial Helicopter,Bell,Substantial,Deccan Aviation,Landing
50,2006,5/6/2006,Bangalore,Karnataka,Trainer,2,No Injuries,0,0,0,Technical Failuer,Trainer Helicopter,Bell,Substantial,Unknow Operator,Landing
51,2005,16-07-2005,Bangalore,Karnataka,Commecial,2,Minor,0,0,2,Technical Failuer,Commercial Aircraft,Cessna,Substantial,Unknow Operator,Landing
52,2002,21-02-2002,Indore,Uttar Pradesh,Government,5,Minor,0,0,5,Technical Failuer,Government Helicopter,Bell,Substantial,Madhya Pradesh Government,Landing
53,2001,2/1/2001,Mussoorie,Uttarakhand,Private,6,Fatal,5,1,0,Technical Failuer,Private Helicopter,Bell,Destroyed,Span Air,Landing
54,2000,17-07-2000,Patna,Bihar,Commecial,62,Fatal,60,1,1,Human Error,Commercial Aircraft,Boeing,Destroyed,Airlines Allied Sevices Ltd,Landing
55,1999,5/3/1999,Madras,Tamil Nadu,Commecial,5,No Injuries,0,0,0,Technical Failuer,Commercial Cargo,Boeing,Destroyed,Air France,Landing
56,1993,26-04-1993,Aurangabad,Maharashtra,Commecial,118,Fatal,55,19,0,Human Error,Commercial Aircraft,Boeing,Destroyed,Indian Airlines,Landing
57,1996,12/11/1996,New Delhi,Delhi,Commecial,394,Fatal,93,0,0,Human Error,Commercial Aircraft,"Boeing, Tupolev",Destroyed,"Saudi Arabian Airlines, Kazakh Airways",Landing
58,1993,26-04-1993,Aurangabad,Maharashtra,Commecial,118,Fatal,55,0,63,Human Error,Commercial Aircraft,Boeing,Substantial,Indian Airlines,Takeoff
59,1991,16-08-1991,Thangjing Hill,Manipur,Commecial,69,Fatal,69,0,0,Human Error,Commercial Aircraft,Boeing,Destroyed,Indian Airlines,Landing
60,1990,14-02-1990,Bangalore,Karnataka,Commecial,92,Fatal,92,0,0,Human Error,Commercial Aircraft,Airbus,Destroyed,Indian Airlines,Landing
61,1989,23-09-1989,Pune,Maharashtra,Commecial,11,Fatal,11,0,0,Human Error,Commercial Aircraft,Dornier,Destroyed,Vayudoot,Enroute
62,1988,19-10-1988,Ahemdabad,Gujarat,Commecial,135,Fatal,133,2,0,Human Error,Commercial Aircraft,Boeing,Destroyed,Indian Airlines,Maneuvering
63,1982,21-06-1982,Mumbai,Maharashtra,Commecial,111,Fatal,17,25,0,Human Error,Commercial Aircraft,Boeing,Destroyed,Air India,Landing
64,1978,1/1/1978,Mumbai,Maharashtra,Commecial,213,Fatal,213,0,0,Mechanical Failuer,Commercial Aircraft,Boeing,Destroyed,Air India,Enroute
65,1976,10/12/1976,Mumbai,Maharashtra,Commecial,95,Fatal,95,0,0,Mechanical Failuer,Commercial Aircraft,Boeing,Destroyed,Indian Airlines,Enroute
66,1973,31-05-1973,New Delhi,Delhi,Commecial,65,Fatal,48,0,0,Bad Weather,Commercial Aircraft,Boeing,Destroyed,Indian Airlines,Landing
67,1971,30-01-1971,Lahor,Lahor,Commecial,32,No Injuries,0,0,0,Terrorist Activity,Commercial Aircraft,Fokker,Destroyed,Indian Airlines,Enroute
68,1969,10/5/1969,Ahmedabad,Gujarat,Commecial,3,No Injuries,0,0,3,Technical Failuer,Commercial Helicopter,Hughes,Substantial,Unknow Operator,Enroute
69,1968,13-06-1968,Kolkata,West Bengal,Commecial,63,Fatal,6,10,47,Human Error,Commercial Aircraft,Boeing,Destroyed,Pan American World Awys Inc.,Landing
70,1965,19-09-1965,Bhuj,Gujarat,Government,8,Fatal,8,0,0,Terrorist Activity,Government Aircraft,Beech,Destroyed,Government Of Gujrat,Enroute
71,1962,7/7/1962,Mumbai,Maharashtra,Commecial,94,Fatal,94,0,0,Technical Failuer,Commercial Aircraft,Douglas,Destroyed,Alitalia,Enroute
72,1943,14-07-1943,Lonavala,Maharashtra,Commecial,6,Fatal,6,0,0,Human Error,Commercial Aircraft,Other Aviation Company,Destroyed,Vayudoot,Enroute
